"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles","BE.BU",NA,"","Hoofdstedelijk Gewest|Région Capitale","Capital Region","","Brussel Hoofstadt|Brusselse Hoofdstedelijke Gewest|Brüssel|Bruxelas|Région de Bruxelles-Capitale|Brussels|Bruselas"
2,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen","BE.AN",NA,"","Provincie","Province","","Amberes|Antuérpia|Antwerp|Anvers|Anversa"
3,23,"BEL","Belgium",2,"Vlaanderen",3,"Limburg","BE.LI",NA,"","Provincie","Province","","Limbourg|Limburgo"
4,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen","BE.OV",NA,"","Provincie","Province","","Flandres Oriental|Fiandra Orientale|Flandes Oriental|Flandre orientale|East Flanders|Ost Flandern"
5,23,"BEL","Belgium",2,"Vlaanderen",5,"Vlaams Brabant","BE.VB",NA,"","Provincie","Province","","Brabant Flamand|Brabante Flamenco|Brabante Flamengo|Flemish Brabant"
6,23,"BEL","Belgium",2,"Vlaanderen",6,"West-Vlaanderen","BE.WV",NA,"","Provincie","Province","","Fiandra Occidentale|Flandes Occidental|Flandre occidentale|Flandres Ocidental|West Flandern|West Flanders"
7,23,"BEL","Belgium",3,"Wallonie",7,"Brabant Wallon","BE.BW",NA,"","Provincie","Province","","Waals Brabant|Walloon Brabant"
8,23,"BEL","Belgium",3,"Wallonie",8,"Hainaut","BE.HT",NA,"","Provincie","Province","","Henegouwen|Hennegau"
9,23,"BEL","Belgium",3,"Wallonie",9,"Liège","BE.LG",NA,"","Provincie","Province","","Luik|Liegi|Lieja|Lüttich"
10,23,"BEL","Belgium",3,"Wallonie",10,"Limburg","BE.LI",NA,"","Provincie","Province","","Limbourg|Limburgo"
11,23,"BEL","Belgium",3,"Wallonie",11,"Luxembourg","BE.LX",NA,"","Provincie","Province","","Lussemburgo|Luxemburg|Luxemburgo"
12,23,"BEL","Belgium",3,"Wallonie",12,"Namur","BE.NA",NA,"","Provincie","Province","","Namen"
