"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,23,"BEL","Belgium",1,"Bruxelles",1,"Bruxelles",1,"Brussel",NA,"","Arrondissement","Arrondissement","","Bruxelles"
2,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",2,"Antwerpen",NA,"","Arrondissement","Arrondissement","","Anvers"
3,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",3,"Mechelen",NA,"","Arrondissement","Arrondissement","","Malines"
4,23,"BEL","Belgium",2,"Vlaanderen",2,"Antwerpen",4,"Turnhout",NA,"","Arrondissement","Arrondissement","",""
5,23,"BEL","Belgium",2,"Vlaanderen",3,"Limburg",5,"Hasselt",NA,"","Arrondissement","Arrondissement","",""
6,23,"BEL","Belgium",2,"Vlaanderen",3,"Limburg",6,"Maaseik",NA,"","Arrondissement","Arrondissement","",""
7,23,"BEL","Belgium",2,"Vlaanderen",3,"Limburg",7,"Tongeren",NA,"","Arrondissement","Arrondissement","","Tongres"
8,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen",8,"Aalst",NA,"","Arrondissement","Arrondissement","","Alost"
9,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen",9,"Dendermonde",NA,"","Arrondissement","Arrondissement","","Termonde"
10,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen",10,"Eeklo",NA,"","Arrondissement","Arrondissement","",""
11,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen",11,"Gent",NA,"","Arrondissement","Arrondissement","","Gand"
12,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen",12,"Oudenaarde",NA,"","Arrondissement","Arrondissement","","Audenarde"
13,23,"BEL","Belgium",2,"Vlaanderen",4,"Oost-Vlaanderen",13,"Sint-Niklaas",NA,"","Arrondissement","Arrondissement","","Saint-Nicolas"
14,23,"BEL","Belgium",2,"Vlaanderen",5,"Vlaams Brabant",14,"Halle-Vilvoorde",NA,"","Arrondissement","Arrondissement","","Hal-Vilvorde"
15,23,"BEL","Belgium",2,"Vlaanderen",5,"Vlaams Brabant",15,"Leuven",NA,"","Arrondissement","Arrondissement","","Louvain"
16,23,"BEL","Belgium",2,"Vlaanderen",6,"West-Vlaanderen",16,"Brugge",NA,"","Arrondissement","Arrondissement","","Bruges"
17,23,"BEL","Belgium",2,"Vlaanderen",6,"West-Vlaanderen",17,"Diksmuide",NA,"","Arrondissement","Arrondissement","","Dixmude"
18,23,"BEL","Belgium",2,"Vlaanderen",6,"West-Vlaanderen",18,"Ieper",NA,"","Arrondissement","Arrondissement","","Ypres"
19,23,"BEL","Belgium",2,"Vlaanderen",6,"West-Vlaanderen",19,"Kortrijk",NA,"","Arrondissement","Arrondissement","","Courtrai"
20,23,"BEL","Belgium",2,"Vlaanderen",6,"West-Vlaanderen",20,"Oostende",NA,"","Arrondissement","Arrondissement","","Ostende"
21,23,"BEL","Belgium",2,"Vlaanderen",6,"West-Vlaanderen",21,"Roeselare",NA,"","Arrondissement","Arrondissement","","Roulers"
