"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,79,"FRA","France",1,"Alsace","",NA,"42","Région","Region","","Alsacia|Elsaß"
2,79,"FRA","France",2,"Aquitaine","",NA,"72","Région","Region","",""
3,79,"FRA","France",3,"Auvergne","",NA,"83","Région","Region","",""
4,79,"FRA","France",4,"Île-de-France","",NA,"11","Région","Region","",""
5,79,"FRA","France",5,"Basse-Normandie","",NA,"25","Région","Region","","Baja Normandía|Lower Normandy"
6,79,"FRA","France",6,"Bourgogne","",NA,"26","Région","Region","","Borgoña|Burgundy"
7,79,"FRA","France",7,"Bretagne","",NA,"53","Région","Region","","Bretaña|Brittany"
8,79,"FRA","France",8,"Centre","",NA,"24","Région","Region","",""
9,79,"FRA","France",9,"Champagne-Ardenne","",NA,"21","Région","Region","","Champaña-Ardenne"
10,79,"FRA","France",10,"Corse","",NA,"94","Région","Region","","Còrsica|Córcega|Corsica"
11,79,"FRA","France",11,"Franche-Comté","",NA,"43","Région","Region","","Franco-Condado"
12,79,"FRA","France",12,"Haute-Normandie","",NA,"23","Région","Region","","Alta Normandía|Upper Normandy"
13,79,"FRA","France",13,"Languedoc-Roussillon","",NA,"91","Région","Region","","Languedoc-Rosellon"
14,79,"FRA","France",14,"Limousin","",NA,"74","Région","Region","","Lemosin"
15,79,"FRA","France",15,"Lorraine","",NA,"41","Région","Region","","Lorena"
16,79,"FRA","France",16,"Midi-Pyrénées","",NA,"73","Région","Region","",""
17,79,"FRA","France",17,"Nord-Pas-de-Calais","",NA,"31","Région","Region","",""
18,79,"FRA","France",18,"Pays de la Loire","",NA,"52","Région","Region","",""
19,79,"FRA","France",19,"Picardie","",NA,"22","Région","Region","",""
20,79,"FRA","France",20,"Poitou-Charentes","",NA,"54","Région","Region","",""
21,79,"FRA","France",21,"Provence-Alpes-Côte d'Azur","",NA,"93","Région","Region","",""
22,79,"FRA","France",22,"Rhône-Alpes","",NA,"82","Région","Region","",""
