"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",1,"Haguenau",NA,"","Arrondissement","Districts","",""
2,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",2,"Molsheim",NA,"","Arrondissement","Districts","",""
3,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",3,"Sélestat-Erstein",NA,"","Arrondissement","Districts","",""
4,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",4,"Saverne",NA,"","Arrondissement","Districts","",""
5,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",5,"Strasbourg-Campagne",NA,"","Arrondissement","Districts","",""
6,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",6,"Strasbourg-Ville",NA,"","Arrondissement","Districts","",""
7,79,"FRA","France",1,"Alsace",1,"Bas-Rhin",7,"Wissembourg",NA,"","Arrondissement","Districts","",""
8,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",8,"Altkirch",NA,"","Arrondissement","Districts","",""
9,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",9,"Colmar",NA,"","Arrondissement","Districts","",""
10,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",10,"Guebwiller",NA,"","Arrondissement","Districts","",""
11,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",11,"Mulhouse",NA,"","Arrondissement","Districts","",""
12,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",12,"Ribeauvillé",NA,"","Arrondissement","Districts","",""
13,79,"FRA","France",1,"Alsace",2,"Haut-Rhin",13,"Thann",NA,"","Arrondissement","Districts","",""
14,79,"FRA","France",2,"Aquitaine",3,"Dordogne",14,"Bergerac",NA,"","Arrondissement","Districts","",""
15,79,"FRA","France",2,"Aquitaine",3,"Dordogne",15,"Nontron",NA,"","Arrondissement","Districts","",""
16,79,"FRA","France",2,"Aquitaine",3,"Dordogne",16,"Périgueux",NA,"","Arrondissement","Districts","",""
17,79,"FRA","France",2,"Aquitaine",3,"Dordogne",17,"Sarlat-la-Canéda",NA,"","Arrondissement","Districts","",""
18,79,"FRA","France",2,"Aquitaine",4,"Gironde",18,"Arcachon",NA,"","Arrondissement","Districts","",""
19,79,"FRA","France",2,"Aquitaine",4,"Gironde",19,"Blaye",NA,"","Arrondissement","Districts","",""
20,79,"FRA","France",2,"Aquitaine",4,"Gironde",20,"Bordeaux",NA,"","Arrondissement","Districts","",""
21,79,"FRA","France",2,"Aquitaine",4,"Gironde",21,"Langon",NA,"","Arrondissement","Districts","",""
22,79,"FRA","France",2,"Aquitaine",4,"Gironde",22,"Lesparre-Médoc",NA,"","Arrondissement","Districts","",""
23,79,"FRA","France",2,"Aquitaine",4,"Gironde",23,"Libourne",NA,"","Arrondissement","Districts","",""
24,79,"FRA","France",2,"Aquitaine",5,"Landes",24,"Dax",NA,"","Arrondissement","Districts","",""
25,79,"FRA","France",2,"Aquitaine",5,"Landes",25,"Mont-de-Marsan",NA,"","Arrondissement","Districts","",""
26,79,"FRA","France",2,"Aquitaine",6,"Lot-et-Garonne",26,"Agen",NA,"","Arrondissement","Districts","",""
27,79,"FRA","France",2,"Aquitaine",6,"Lot-et-Garonne",27,"Marmande",NA,"","Arrondissement","Districts","",""
28,79,"FRA","France",2,"Aquitaine",6,"Lot-et-Garonne",28,"Nérac",NA,"","Arrondissement","Districts","",""
29,79,"FRA","France",2,"Aquitaine",6,"Lot-et-Garonne",29,"Villeneuve-sur-Lot",NA,"","Arrondissement","Districts","",""
30,79,"FRA","France",2,"Aquitaine",7,"Pyrénées-Atlantiques",30,"Bayonne",NA,"","Arrondissement","Districts","",""
31,79,"FRA","France",2,"Aquitaine",7,"Pyrénées-Atlantiques",31,"Oloron-Sainte-Marie",NA,"","Arrondissement","Districts","",""
32,79,"FRA","France",2,"Aquitaine",7,"Pyrénées-Atlantiques",32,"Pau",NA,"","Arrondissement","Districts","",""
33,79,"FRA","France",3,"Auvergne",8,"Allier",33,"Montluçon",NA,"","Arrondissement","Districts","",""
34,79,"FRA","France",3,"Auvergne",8,"Allier",34,"Moulins",NA,"","Arrondissement","Districts","",""
35,79,"FRA","France",3,"Auvergne",8,"Allier",35,"Vichy",NA,"","Arrondissement","Districts","",""
36,79,"FRA","France",3,"Auvergne",9,"Cantal",36,"Aurillac",NA,"","Arrondissement","Districts","",""
37,79,"FRA","France",3,"Auvergne",9,"Cantal",37,"Mauriac",NA,"","Arrondissement","Districts","",""
38,79,"FRA","France",3,"Auvergne",9,"Cantal",38,"Saint-Flour",NA,"","Arrondissement","Districts","",""
39,79,"FRA","France",3,"Auvergne",10,"Haute-Loire",39,"Brioude",NA,"","Arrondissement","Districts","",""
40,79,"FRA","France",3,"Auvergne",10,"Haute-Loire",40,"Le Puy-en-Velay",NA,"","Arrondissement","Districts","",""
41,79,"FRA","France",3,"Auvergne",10,"Haute-Loire",41,"Yssingeaux",NA,"","Arrondissement","Districts","",""
42,79,"FRA","France",3,"Auvergne",11,"Puy-de-Dôme",42,"Ambert",NA,"","Arrondissement","Districts","",""
43,79,"FRA","France",3,"Auvergne",11,"Puy-de-Dôme",43,"Clermont-Ferrand",NA,"","Arrondissement","Districts","",""
44,79,"FRA","France",3,"Auvergne",11,"Puy-de-Dôme",44,"Issoire",NA,"","Arrondissement","Districts","",""
